title,release_date,runtime,budget,revenue,popularity,vote_average,vote_count,net_income
Toy Story,1995-10-30,81.0,30000000,373554033,21.946943,7.7,5415.0,313554033
Jumanji,1995-12-15,104.0,65000000,262797249,17.015539,6.9,2413.0,132797249
Grumpier Old Men,1995-12-22,101.0,0,0,11.7129,6.5,92.0,0
Waiting to Exhale,1995-12-22,127.0,16000000,81452156,3.859495,6.1,34.0,49452156
Father of the Bride Part II,1995-02-10,106.0,0,76578911,8.387519,5.7,173.0,76578911
Heat,1995-12-15,170.0,60000000,187436818,17.924927,7.7,1886.0,67436818
Sabrina,1995-12-15,127.0,58000000,0,6.677277,6.2,141.0,-116000000
Tom and Huck,1995-12-22,97.0,0,0,2.561161,5.4,45.0,0
Sudden Death,1995-12-22,106.0,35000000,64350171,5.23158,5.5,174.0,-5649829
GoldenEye,1995-11-16,130.0,58000000,352194034,14.686036,6.6,1194.0,236194034
The American President,1995-11-17,106.0,62000000,107879496,6.318445,6.5,199.0,-16120504
Dracula: Dead and Loving It,1995-12-22,88.0,0,0,5.430331,5.7,210.0,0
Balto,1995-12-22,78.0,0,11348324,12.140733,7.1,423.0,11348324
Nixon,1995-12-22,192.0,44000000,13681765,5.092,7.1,72.0,-74318235
Cutthroat Island,1995-12-22,119.0,98000000,10017322,7.284477,5.7,137.0,-185982678
Casino,1995-11-22,178.0,52000000,116112375,10.137389,7.8,1343.0,12112375
Sense and Sensibility,1995-12-13,136.0,16500000,135000000,10.673167,7.2,364.0,102000000
Four Rooms,1995-12-09,98.0,4000000,4300000,9.026586,6.5,539.0,-3700000
Ace Ventura: When Nature Calls,1995-11-10,90.0,30000000,212385533,8.205448,6.1,1128.0,152385533
Money Train,1995-11-21,103.0,60000000,35431113,7.337906,5.4,224.0,-84568887
Get Shorty,1995-10-20,105.0,30250000,115101622,12.669608,6.4,305.0,54601622
Copycat,1995-10-27,124.0,0,0,10.701801,6.5,199.0,0
Assassins,1995-10-06,132.0,50000000,30303072,11.065939,6.0,394.0,-69696928
Powder,1995-10-27,111.0,0,0,12.133094,6.3,143.0,0
Leaving Las Vegas,1995-10-27,112.0,3600000,49800000,10.332025,7.1,365.0,42600000
Othello,1995-12-15,123.0,0,0,1.845899,7.0,33.0,0
Now and Then,1995-10-20,100.0,12000000,27400000,8.681325,6.6,91.0,3400000
Persuasion,1995-09-27,104.0,0,0,2.228434,7.4,36.0,0
The City of Lost Children,1995-05-16,108.0,18000000,1738611,9.822423,7.6,308.0,-34261389
Shanghai Triad,1995-04-30,108.0,0,0,1.100915,6.5,17.0,0
Dangerous Minds,1995-08-11,99.0,0,180000000,9.481338,6.4,249.0,180000000
Twelve Monkeys,1995-12-29,129.0,29500000,168840000,12.297305,7.4,2470.0,109840000
Wings of Courage,1996-09-18,50.0,0,0,0.745542,6.8,4.0,0
Babe,1995-07-18,89.0,30000000,254134910,14.404764,6.0,756.0,194134910
Carrington,1995-11-08,121.0,0,0,1.493361,6.4,16.0,0
Dead Man Walking,1995-12-29,122.0,11000000,39363635,6.891317,7.3,350.0,17363635
Across the Sea of Time,1995-10-20,51.0,0,0,0.114469,3.5,2.0,0
It Takes Two,1995-11-17,101.0,0,0,7.777735,6.1,149.0,0
Clueless,1995-07-19,97.0,12000000,0,9.882383,6.9,828.0,-24000000
"Cry, the Beloved Country",1995-12-15,106.0,0,676525,0.894647,6.7,13.0,676525
Richard III,1995-12-29,104.0,0,0,4.561387,6.9,50.0,0
Dead Presidents,1995-10-06,119.0,10000000,0,9.87957,6.6,80.0,-20000000
Restoration,1995-12-29,117.0,19000000,0,10.979269,6.3,30.0,-38000000
Mortal Kombat,1995-08-18,101.0,18000000,122195920,10.870138,5.4,452.0,86195920
To Die For,1995-05-20,106.0,20000000,21284514,10.448481,6.7,177.0,-18715486
How To Make An American Quilt,1995-10-06,116.0,10000000,23574130,4.485958,6.5,38.0,3574130
Se7en,1995-09-22,127.0,33000000,327311859,18.45743,8.1,5915.0,261311859
Pocahontas,1995-06-14,81.0,55000000,346079773,13.280069,6.7,1509.0,236079773
When Night Is Falling,1995-05-05,96.0,0,0,3.302524,5.9,10.0,0
The Usual Suspects,1995-07-19,106.0,6000000,23341568,16.302466,8.1,3334.0,11341568
Guardian Angel,1994-11-22,93.0,0,0,0.595949,6.3,3.0,0
Mighty Aphrodite,1995-09-13,95.0,15000000,6700000,15.899134,6.7,145.0,-23300000
Lamerica,1994-01-01,116.0,0,0,1.361286,7.7,11.0,0
The Big Green,1995-09-29,100.0,0,0,5.982764,5.2,41.0,0
Georgia,1995-05-19,115.0,0,0,4.093443,6.1,15.0,0
Kids of the Round Table,1997-07-08,89.0,0,0,0.307075,3.0,1.0,0
Home for the Holidays,1995-11-02,103.0,0,17519169,8.416802,6.3,39.0,17519169
The Postman,1994-09-22,108.0,0,0,10.168437,7.6,181.0,0
The Confessional,1995-09-29,100.0,0,0,0.120789,6.5,2.0,0
The Indian in the Cupboard,1995-07-14,96.0,45000000,0,10.673296,5.9,136.0,-90000000
Eye for an Eye,1996-01-12,101.0,20000000,0,4.733526,5.8,65.0,-40000000
Mr. Hollands Opus,1995-12-29,137.0,0,106269971,7.137117,6.9,115.0,106269971
Dont Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12,89.0,0,0,11.700115,6.2,192.0,0
Two If by Sea,1996-01-12,96.0,0,0,2.174487,4.5,14.0,0
Bio-Dome,1996-01-12,88.0,15000000,0,6.387469,4.4,110.0,-30000000
Lawnmower Man 2: Beyond Cyberspace,1996-01-12,92.0,0,2409225,2.49535,2.8,32.0,2409225
Two Bits,1995-10-22,85.0,0,0,4.046208,5.4,11.0,0
French Twist,1995-02-08,95.0,0,0,2.518051,6.0,43.0,0
Friday,1995-04-26,91.0,3500000,28215918,14.56965,7.0,513.0,21215918
From Dusk Till Dawn,1996-01-19,108.0,19000000,25836616,15.339153,6.9,1644.0,-12163384
Fair Game,1995-11-03,91.0,50000000,11534477,5.912223,4.1,54.0,-88465523
Kicking and Screaming,1995-10-06,96.0,0,718490,3.367276,7.0,36.0,718490
Les Miserables,1995-03-22,175.0,0,0,1.479446,6.6,8.0,0
Bed of Roses,1996-01-26,87.0,0,19030691,10.412194,5.1,27.0,19030691
Big Bully,1996-01-26,90.0,15000000,2042530,2.936443,3.9,16.0,-27957470
Screamers,1995-09-08,108.0,20000000,5781885,12.758848,6.1,154.0,-34218115
Nico Icon,1995-02-18,70.0,0,0,0.133893,7.3,3.0,0
The Crossing Guard,1995-11-15,111.0,0,0,5.756462,6.1,74.0,0
The Juror,1996-02-02,118.0,44000000,0,6.010579,5.5,91.0,-88000000
The White Balloon,1995-01-01,85.0,0,0,1.196256,7.5,20.0,0
Things to Do in Denver When Youre Dead,1995-12-01,116.0,8000000,529766,4.486179,6.7,87.0,-15470234
Antonias Line,1995-09-12,102.0,900000,0,2.030174,7.2,26.0,-1800000
Once Upon a Time... When We Were Colored,1996-01-26,115.0,0,0,0.252287,4.5,2.0,0
Last Summer in the Hamptons,1995-11-22,108.0,0,0,0.531159,0.0,0.0,0
Angels and Insects,1995-09-10,118.0,0,0,2.15166,6.3,17.0,0
White Squall,1996-02-02,129.0,38000000,10300000,9.568604,6.3,86.0,-65700000
Dunston Checks In,1996-01-12,88.0,16000000,0,4.814825,5.1,59.0,-32000000
Black Sheep,1996-02-01,87.0,0,32,8.963037,6.0,124.0,32
Nick of Time,1995-11-22,90.0,8169363,8175346,6.848591,6.1,190.0,-8163380
The Journey of August King,1995-09-14,91.0,0,0,0.411424,6.7,3.0,0
Mary Reilly,1996-02-23,104.0,47000000,12379402,12.866139,5.7,77.0,-81620598
Vampire in Brooklyn,1995-10-26,100.0,14000000,19800000,9.071127,4.5,113.0,-8200000
Beautiful Girls,1996-02-09,112.0,0,0,4.670562,6.6,103.0,0
Broken Arrow,1996-02-09,108.0,50000000,150270147,14.957626,5.7,459.0,50270147
A Midwinters Tale,1995-12-01,99.0,0,0,0.513391,7.5,6.0,0
La Haine,1995-05-31,98.0,3000000,0,12.108196,7.9,695.0,-6000000
Shopping,1994-12-06,105.0,0,0,2.657647,5.6,13.0,0
Heidi Fleiss: Hollywood Madam,1995-12-27,106.0,0,0,0.638211,6.8,4.0,0
City Hall,1996-02-16,111.0,0,0,4.807223,6.0,67.0,0
Bottle Rocket,1996-02-21,91.0,7000000,560069,6.904831,6.8,285.0,-13439931
Mr. Wrong,1996-02-16,96.0,0,0,3.329264,3.3,16.0,0
Unforgettable,1996-02-23,106.0,18000000,0,2.464425,5.3,22.0,-36000000
Happy Gilmore,1996-02-16,92.0,12000000,41205099,9.592265,6.5,767.0,17205099
The Bridges of Madison County,1995-05-28,135.0,24000000,182016617,5.951077,7.3,397.0,134016617
Nobody Loves Me,1994-11-07,104.0,0,0,1.015068,5.1,5.0,0
Muppet Treasure Island,1996-02-16,100.0,0,34327391,6.902423,6.5,93.0,34327391
Catwalk,1995-12-08,95.0,0,0,0.976707,7.0,2.0,0
Headless Body in Topless Bar,1995-05-20,110.0,0,0,0.001346,0.0,0.0,0
Braveheart,1995-05-24,177.0,72000000,210000000,20.755149,7.7,3404.0,66000000
Taxi Driver,1976-02-07,114.0,1300000,28262574,14.092713,8.1,2632.0,25662574
Rumble in the Bronx,1995-01-30,91.0,7500000,32392047,12.314278,6.5,245.0,17392047
Before and After,1996-02-23,108.0,35000000,0,2.938293,5.8,37.0,-70000000
Margarets Museum,1995-09-13,114.0,0,0,0.372697,7.5,2.0,0
Happiness Is in the Field,1995-01-31,106.0,13365000,0,1.254885,7.0,23.0,-26730000
Anne Frank Remembered,1995-06-08,117.0,0,1,0.243986,7.3,4.0,1
The Young Poisoners Handbook,1995-01-20,99.0,0,0,6.178497,6.9,19.0,0
If Lucy Fell,1996-03-08,92.0,0,0,2.891918,5.4,11.0,0
Steal Big Steal Little,1995-09-29,113.0,25000000,6278139,1.522412,5.1,7.0,-43721861
Race the Sun,1996-03-22,100.0,0,0,1.317878,5.2,21.0,0
The Boys of St. Vincent,1992-12-06,90.0,0,0,0.86539,7.0,7.0,0
Boomerang,1992-06-30,117.0,40000000,70100000,6.506983,5.4,139.0,-9900000
Chungking Express,1994-07-14,102.0,0,0,6.778979,7.9,249.0,0
The Star Maker,1995-09-21,113.0,0,0,1.702639,6.8,29.0,0
Flirting with Disaster,1996-03-22,92.0,7000000,14702438,5.579088,6.3,66.0,702438
The Neverending Story III: Escape from Fantasia,1994-10-26,95.0,17000000,0,6.252377,4.4,105.0,-34000000
The Silences of the Palace,1994-09-30,116.0,0,0,0.406754,4.3,3.0,0
Jupiters Wife,1995-01-01,87.0,0,0,0.001178,0.0,0.0,0
Pie in the Sky,1996-02-09,95.0,0,0,0.699066,7.0,2.0,0
Angela,1995-01-01,99.0,0,0,2.197439,5.6,9.0,0
Frankie Starlight,1995-11-22,101.0,0,0,0.637554,5.4,4.0,0
Jade,1995-10-13,95.0,50000000,9851610,11.418917,5.1,45.0,-90148390
Nueba Yol,1995-08-16,102.0,0,0,0.291021,5.5,1.0,0
Sonic Outlaws,1995-08-01,87.0,0,0,0.001838,0.0,0.0,0
Down Periscope,1996-03-01,92.0,0,0,5.184977,5.6,110.0,0
From the Journals of Jean Seberg,1995-09-08,97.0,0,0,0.276401,6.5,2.0,0
Man of the Year,1995-09-15,86.0,0,209935,0.540436,3.8,2.0,209935
The Neon Bible,1995-08-23,91.0,0,0,0.370342,7.2,5.0,0
Target,1995-08-01,122.0,0,0,0.001205,0.0,0.0,0
Up Close & Personal,1996-03-01,119.0,60000000,0,3.402749,5.9,51.0,-120000000
The Birdcage,1996-03-08,117.0,31000000,185260553,6.49968,6.7,303.0,123260553
Virgin Mary,1995-10-12,125.0,0,0,0.918504,7.0,2.0,0
The Brothers McMullen,1995-08-09,98.0,0,0,2.039196,6.3,23.0,0
Bad Boys,1995-04-07,118.0,19000000,141407024,9.262184,6.5,1729.0,103407024
The Amazing Panda Adventure,1995-08-25,81.0,0,0,2.375865,5.0,31.0,0
The Basketball Diaries,1995-04-21,102.0,0,0,7.415144,7.2,472.0,0
An Awfully Big Adventure,1995-07-21,113.0,4000000,851545,0.922958,6.0,11.0,-7148455
Amateur,1994-08-05,105.0,0,0,1.759012,6.5,21.0,0
Apollo 13,1995-06-30,140.0,52000000,355237933,18.761467,7.3,1637.0,251237933
Rob Roy,1995-04-13,139.0,28000000,31596911,10.193549,6.5,151.0,-24403089
The Addiction,1995-01-10,82.0,0,0,3.137285,6.4,46.0,0
Batman Forever,1995-06-16,121.0,100000000,336529144,13.321354,5.2,1529.0,136529144
Belle de Jour,1967-05-24,101.0,0,0,10.142662,7.3,163.0,0
Beyond Rangoon,1995-05-24,100.0,0,0,2.04189,6.4,21.0,0
Blue in the Face,1995-09-15,83.0,2000000,1275000,11.528147,6.8,28.0,-2725000
Canadian Bacon,1995-06-08,91.0,11000000,178104,5.391556,5.9,57.0,-21821896
Casper,1995-05-26,100.0,50000000,287928194,12.812539,6.0,1045.0,187928194
Clockers,1995-09-15,128.0,25000000,13071518,4.558992,6.8,69.0,-36928482
Congo,1995-06-09,109.0,50000000,152022101,7.260574,5.0,214.0,52022101
Crimson Tide,1995-05-12,116.0,53000000,157387195,8.657365,7.0,508.0,51387195
Crumb,1994-09-10,119.0,0,3174695,3.620388,7.6,71.0,3174695
Desperado,1995-08-25,104.0,7000000,25405445,6.950458,6.8,898.0,11405445
Devil in a Blue Dress,1995-09-15,102.0,27000000,16140822,4.646132,6.3,88.0,-37859178
Die Hard: With a Vengeance,1995-05-19,128.0,90000000,366101666,15.138855,6.9,2094.0,186101666
The Doom Generation,1995-10-27,80.0,0,0,7.120806,5.6,57.0,0
Feast of July,1995-10-12,116.0,0,0,0.523575,0.0,0.0,0
First Knight,1995-07-07,134.0,55000000,127600435,15.178338,5.9,319.0,17600435
Free Willy 2 - The Adventure Home,1995-07-19,95.0,0,0,7.575098,5.5,130.0,0
Hackers,1995-09-14,107.0,20000000,7563728,14.810519,6.2,406.0,-32436272
Jeffrey,1995-08-18,92.0,0,0,3.196456,6.5,19.0,0
Johnny Mnemonic,1995-05-26,97.0,25000000,19075720,11.715868,5.5,380.0,-30924280
Judge Dredd,1995-06-30,96.0,90000000,113493481,8.184815,5.4,643.0,-66506519
Jury Duty,1995-04-12,88.0,0,17014653,3.676921,4.0,34.0,17014653
Kids,1995-07-28,91.0,1500000,7412216,4.877872,6.8,280.0,4412216
Living in Oblivion,1995-01-20,89.0,500000,1148752,10.058329,7.2,64.0,148752
Lord of Illusions,1995-08-25,119.0,0,0,4.102409,5.9,87.0,0
Love & Human Remains,1993-05-20,100.0,0,0,0.354014,7.0,7.0,0
Mad Love,1995-05-26,95.0,0,15453274,2.624771,5.5,27.0,15453274
Mallrats,1995-10-20,94.0,6000000,2122561,8.25547,6.8,400.0,-9877439
Mighty Morphin Power Rangers: The Movie,1995-06-30,92.0,15000000,66000000,7.024227,5.2,153.0,36000000
Moonlight and Valentino,1995-09-29,100.0,0,0,1.01115,5.6,10.0,0
Mute Witness,1995-09-28,95.0,2,1,2.466066,6.4,36.0,-3
Nadja,1994-09-13,93.0,0,0,7.720056,5.9,12.0,0
The Net,1995-07-28,114.0,22000000,110627965,13.304342,5.6,359.0,66627965
Nine Months,1995-07-12,103.0,0,69660733,8.482834,5.5,171.0,69660733
Party Girl,1995-06-09,94.0,150000,472370,1.165039,5.8,14.0,172370
The Prophecy,1995-09-01,98.0,8,16,10.187623,6.4,139.0,0
Reckless,1995-11-17,91.0,0,0,0.119713,10.0,1.0,0
Safe,1995-06-23,119.0,0,0,8.180047,7.2,62.0,0
The Scarlet Letter,1995-10-13,135.0,50000000,10382407,6.752119,5.5,111.0,-89617593
The Show,1995-08-25,93.0,0,0,0.159596,5.3,2.0,0
Showgirls,1995-09-22,128.0,45000000,20350754,17.502375,4.9,261.0,-69649246
Smoke,1995-06-09,112.0,7000000,8349430,5.552946,7.2,115.0,-5650570
Something to Talk About,1995-08-04,106.0,0,50892160,3.743212,5.7,60.0,50892160
Species,1995-07-07,108.0,35000000,113374103,13.492845,5.5,457.0,43374103
The Stars Fell on Henrietta,1995-09-15,109.0,0,0,0.913522,6.6,6.0,0
Strange Days,1995-10-13,145.0,42000000,7959291,11.223055,6.8,334.0,-76040709
The Umbrellas of Cherbourg,1964-02-19,91.0,0,0,8.133881,7.6,119.0,0
The Tie That Binds,1995-09-08,99.0,14000000,5780000,1.820419,4.6,9.0,-22220000
Three Wishes,1995-10-27,115.0,0,7025496,11.002046,6.1,18.0,7025496
Total Eclipse,1995-11-02,111.0,0,339889,4.546552,6.5,112.0,339889
"To Wong Foo, Thanks for Everything! Julie Newmar",1995-09-07,105.0,0,47774193,7.653446,6.3,117.0,47774193
Under Siege 2: Dark Territory,1995-07-13,100.0,60000000,104324083,7.490247,5.6,217.0,-15675917
Unstrung Heroes,1995-09-15,93.0,0,0,2.881689,6.4,9.0,0
Unzipped,1995-08-11,73.0,0,0,0.786023,6.0,6.0,0
A Walk in the Clouds,1995-08-11,103.0,20000000,50012507,9.715639,6.5,168.0,10012507
Waterworld,1995-07-28,135.0,175000000,264218220,16.885184,5.9,1017.0,-85781780
White Mans Burden,1995-12-01,89.0,8000000,0,1.834099,5.1,25.0,-16000000
Wild Bill,1995-12-01,98.0,30000000,0,8.922139,5.9,27.0,-60000000
The Browning Version,1994-10-12,97.0,0,0,3.727644,6.0,11.0,0
Bushwhacked,1995-08-04,90.0,0,0,3.287036,4.9,29.0,0
Burnt by the Sun,1994-05-01,135.0,2800000,2616503,2.486073,6.7,35.0,-2983497
Before the Rain,1994-06-09,113.0,0,763847,3.525649,7.7,45.0,763847
Before Sunrise,1995-01-27,105.0,2500000,5535405,11.304979,7.7,984.0,535405
Billy Madison,1995-02-10,89.0,10000000,26488734,6.638116,6.2,464.0,6488734
The Babysitter,1995-10-17,90.0,0,0,2.761837,4.7,27.0,0
Boys on the Side,1995-02-03,115.0,21000000,23450000,3.030309,6.3,48.0,-18550000
The Cure,1995-04-21,97.0,0,0,2.686342,7.2,58.0,0
Castle Freak,1995-08-04,95.0,0,0,2.26977,5.8,40.0,0
Circle of Friends,1995-03-16,103.0,0,0,2.605521,6.5,30.0,0
Clerks,1994-09-13,92.0,27000,3151130,10.513367,7.4,769.0,3097130
Don Juan DeMarco,1994-10-01,97.0,25000000,22200000,7.438934,6.3,184.0,-27800000
Disclosure,1994-12-09,123.0,55000000,214015089,11.812244,5.9,217.0,104015089
Dream Man,1995-01-01,0.0,0,0,0.155859,2.5,1.0,0
Drop Zone,1994-12-08,101.0,45000000,0,9.579155,5.1,91.0,-90000000
Destiny Turns on the Radio,1995-04-28,0.0,0,0,0.710671,5.3,9.0,0
Death and the Maiden,1994-05-04,103.0,0,0,5.484156,7.1,92.0,0
Dolores Claiborne,1995-03-24,132.0,0,0,5.8025,7.1,183.0,0
Dumb and Dumber,1994-12-16,107.0,16000000,247275374,9.844558,6.5,1894.0,215275374
Eat Drink Man Woman,1994-08-03,123.0,0,7294403,4.860016,7.5,76.0,7294403
Exotica,1994-09-24,103.0,0,0,5.378467,6.5,64.0,0
Exit to Eden,1994-10-14,113.0,0,6841570,4.322726,4.3,28.0,6841570
Ed Wood,1994-09-27,127.0,18000000,5887457,11.720358,7.3,639.0,-30112543
French Kiss,1995-05-05,111.0,0,0,9.146544,6.2,179.0,0
Forget Paris,1995-05-19,101.0,0,0,16.236745,6.1,38.0,0
Far from Home: The Adventures of Yellow Dog,1995-01-13,87.0,0,0,2.657337,5.6,27.0,0
A Goofy Movie,1995-04-07,78.0,0,35348597,10.177977,6.7,404.0,35348597
Hideaway,1995-03-03,103.0,15000000,12201255,8.182165,5.0,24.0,-17798745
Fluke,1995-06-02,96.0,0,0,4.953936,6.6,48.0,0
Farinelli,1994-12-07,111.0,0,0,8.935058,5.9,20.0,0
Gordy,1995-05-12,90.0,0,3992809,0.398924,3.0,4.0,3992809
Gumby: The Movie,1995-12-01,77.0,0,0,0.090452,5.0,2.0,0
The Glass Shield,1994-09-16,109.0,0,0,1.012197,5.4,9.0,0
Hoop Dreams,1994-09-12,171.0,700000,7830611,9.47666,7.7,91.0,6430611
Heavenly Creatures,1994-09-02,99.0,5000000,3049135,9.438042,6.9,299.0,-6950865
Houseguest,1995-01-06,113.0,10500000,26325256,2.688562,6.0,17.0,5325256
Immortal Beloved,1994-12-16,121.0,120,0,7.983666,6.9,90.0,-240
Heavyweights,1995-02-17,100.0,0,17689177,9.546707,6.0,97.0,17689177
The Hunted,1995-02-24,106.0,0,0,2.756986,6.0,25.0,0
I.Q.,1994-12-24,100.0,25000000,0,5.146352,5.9,112.0,-50000000
Interview with the Vampire,1994-11-11,123.0,60000000,223664608,11.970205,7.2,1558.0,103664608
Jefferson in Paris,1995-03-31,139.0,14000000,2474000,1.596058,5.2,10.0,-25526000
The Jerky Boys,1995-02-03,82.0,0,0,0.748846,4.8,10.0,0
Junior,1994-11-22,109.0,60000000,37000000,6.710215,4.7,381.0,-83000000
Just Cause,1995-02-17,102.0,0,0,9.195256,6.0,124.0,0
A Kid in King Arthurs Court,1995-08-11,89.0,0,0,5.874511,4.3,40.0,0
Kiss of Death,1995-04-21,101.0,40000000,0,7.797512,5.7,83.0,-80000000
Star Wars,1977-05-25,121.0,11000000,775398007,42.149697,8.1,6778.0,753398007
Little Women,1994-12-21,115.0,18000000,0,9.774994,7.0,222.0,-36000000
A Little Princess,1995-05-10,97.0,17000000,0,7.731725,7.4,207.0,-34000000
Ladybird Ladybird,1994-02-18,101.0,0,0,0.84508,7.4,14.0,0
LEnfer,1994-02-16,100.0,10000000,0,1.948315,6.6,22.0,-20000000
Like Water for Chocolate,1992-04-16,105.0,2000000,21665468,4.126083,6.6,70.0,17665468
Legends of the Fall,1994-12-16,133.0,30000000,160638883,12.199047,7.2,636.0,100638883
Major Payne,1995-03-24,95.0,0,0,9.253362,6.1,164.0,0
Little Odessa,1994-10-27,98.0,0,0,1.861292,6.4,31.0,0
Mi Vida Loca,1994-06-08,92.0,0,0,1.788829,5.7,9.0,0
Love Affair,1994-10-21,108.0,60000000,0,3.290192,4.3,11.0,-120000000
Losing Isaiah,1995-03-17,106.0,17000000,7603766,7.698526,6.4,28.0,-26396234
The Madness of King George,1994-12-28,107.0,0,0,4.81307,6.7,67.0,0
Mary Shelleys Frankenstein,1994-11-04,123.0,45000000,112006296,14.287753,6.1,272.0,22006296
Man of the House,1995-03-03,96.0,0,0,2.558118,5.1,40.0,0
Mixed Nuts,1994-12-21,97.0,15000000,0,2.899608,5.2,37.0,-30000000
Milk Money,1994-08-31,108.0,0,18137661,3.770115,5.6,49.0,18137661
Miracle on 34th Street,1994-11-18,114.0,0,46264384,5.831622,6.4,199.0,46264384
Miami Rhapsody,1995-01-27,95.0,6,5,1.137266,5.6,7.0,-7
My Family,1995-05-03,128.0,5500000,0,3.121288,7.0,11.0,-11000000
Murder in the First,1995-01-20,122.0,0,17381942,9.518564,6.9,140.0,17381942
Nobodys Fool,1994-12-23,110.0,0,0,2.891269,7.0,56.0,0
Nell,1994-12-23,112.0,31000000,106683817,5.930957,6.1,128.0,44683817
New Jersey Drive,1995-04-19,98.0,0,0,0.629955,6.9,7.0,0
New York Cop,1993-08-14,93.0,0,0,0.004537,0.0,0.0,0
Beyond Bedlam,1994-04-22,89.0,4800000,0,0.426952,4.0,4.0,-9600000
Nemesis 2 - Nebula,1995-09-26,83.0,0,0,1.466491,4.6,10.0,0
Nina Takes a Lover,1995-03-03,100.0,0,0,0.769522,7.4,4.0,0
Natural Born Killers,1994-08-25,119.0,34000000,50282766,11.226856,6.9,927.0,-17717234
Only You,1994-09-17,115.0,0,0,4.936761,6.4,92.0,0
Once Were Warriors,1994-09-02,99.0,0,2201126,4.025276,7.6,106.0,2201126
Poison Ivy II: Lily,1996-01-16,106.0,0,0,6.448039,4.6,32.0,0
Outbreak,1995-03-10,127.0,50000000,189859560,13.676444,6.4,522.0,89859560
Leon: The Professional,1994-09-14,110.0,16000000,45284974,20.477329,8.2,4293.0,13284974
The Perez Family,1995-05-12,113.0,11000000,2832826,1.433544,6.6,9.0,-19167174
A Pyromaniacs Love Story,1995-04-28,94.0,0,0,0.463307,7.0,2.0,0
Pulp Fiction,1994-09-10,154.0,8000000,213928762,140.950236,8.3,8670.0,197928762
Panther,1995-11-10,124.0,0,6834525,7.160149,6.4,6.0,6834525
Pushing Hands,1992-02-01,105.0,400000,152322,1.638622,6.1,9.0,-647678
Priest,1994-01-01,98.0,0,4176932,1.881932,6.4,32.0,4176932
Quiz Show,1994-09-16,133.0,0,0,7.772505,7.1,262.0,0
Picture Bride,1995-05-05,94.0,0,0,1.296912,7.4,5.0,0
Queen Margot,1994-05-13,162.0,0,0,4.405405,7.0,67.0,0
The Quick and the Dead,1995-02-09,107.0,32000000,18552460,7.54701,6.2,431.0,-45447540
Roommates,1995-03-01,108.0,22000000,12400000,3.395867,6.4,7.0,-31600000
Prêt-à-Porter,1994-12-23,133.0,15000000,11300653,6.259433,5.3,33.0,-18699347
Three Colors: Red,1994-05-27,99.0,0,0,7.832755,7.8,246.0,0
Three Colors: Blue,1993-01-10,98.0,0,0,8.843517,7.7,311.0,0
Three Colors: White,1994-01-26,91.0,0,0,6.5898,7.3,218.0,0
"Red Firecracker, Green Firecracker",1994-10-14,111.0,0,0,0.078257,7.0,2.0,0
Rent-a-Kid,1995-01-01,85.0,0,0,1.155255,5.1,15.0,0
Relative Fear,1995-10-03,90.0,0,0,0.499601,4.7,3.0,0
Stuart Saves His Family,1995-04-12,95.0,0,0,1.390885,5.0,6.0,0
The Swan Princess,1994-11-18,89.0,35000000,9771658,8.910462,6.5,251.0,-60228342
The Secret of Roan Inish,1994-01-01,97.0,0,0,1.750481,6.1,15.0,0
The Specialist,1994-10-07,110.0,45000000,170362582,10.388183,5.5,317.0,80362582
Stargate,1994-10-27,121.0,55000000,196567262,13.328924,6.8,942.0,86567262
The Santa Clause,1994-11-10,97.0,22000000,189833357,9.665424,6.3,501.0,145833357
The Shawshank Redemption,1994-09-23,142.0,25000000,28341469,51.645403,8.5,8358.0,-21658531
Shallow Grave,1994-12-22,92.0,0,0,8.223026,7.0,247.0,0
Suture,1993-09-14,96.0,0,102780,1.298224,6.0,7.0,102780
Strawberry and Chocolate,1993-01-01,108.0,0,0,1.777197,7.1,16.0,0
Swimming with Sharks,1994-09-10,101.0,0,0,5.869261,6.7,104.0,0
The Sum of Us,1994-07-12,100.0,32,0,1.407427,6.0,21.0,-64
Senior Trip,1995-09-08,91.0,0,0,5.05806,5.7,23.0,0
To Live,1994-06-30,125.0,0,0,5.260627,7.7,62.0,0
Tank Girl,1995-03-31,98.0,25000000,4064495,7.602087,5.5,140.0,-45935505
Tales from the Crypt: Demon Knight,1995-01-13,92.0,0,0,9.455342,6.7,96.0,0
Star Trek: Generations,1994-11-17,118.0,38000000,120000000,8.105708,6.4,461.0,44000000
Tales from the Hood,1995-05-24,98.0,6000000,12000000,2.86007,5.4,33.0,0
Tom & Viv,1994-04-15,115.0,0,0,0.704204,5.8,8.0,0
Village of the Damned,1995-04-28,99.0,0,0,6.529879,5.6,165.0,0
Tommy Boy,1995-03-31,97.0,0,32648673,11.971318,6.8,321.0,32648673
Vanya on 42nd Street,1994-09-13,119.0,0,0,7.039846,6.1,15.0,0
The Underneath,1995-04-28,99.0,6500000,0,2.059771,5.6,15.0,-13000000
The Walking Dead,1995-02-24,88.0,0,0,0.620873,6.6,4.0,0
Whats Eating Gilbert Grape,1993-12-17,118.0,11000000,10032765,10.3919,7.5,943.0,-11967235
Virtuosity,1995-08-04,106.0,30000000,24048000,5.188399,5.4,163.0,-35952000
While You Were Sleeping,1995-04-21,103.0,17000000,182057016,15.783615,6.5,340.0,148057016
